draft,type,num,date,day,slides,readings,assignments
y,,11,10-Oct,Wed,"Relational Database Design

* Relations / Foreign Key Constraints
* E-R Diagrams (in MySQL Workbench or similar)
  * Reverse engineering
  * Forward engineering
* Normalization


Importing Data

* CSV, TSV, JSON",,HW06
y,,12,15-Oct,Mon,"Joins and Aggregate Queries

* in-depth study of SQL for data analysis and for manipulating RDBMS.
* JOINs and all facets for standard SQL programming and development. 
* UNION and related queries
* Study of aggregate queries
* In-depth look at nested queries
* Use single tables for aggregate queries and related queries for deep dives into data sets 
",,
y,,13,17-Oct,Wed,Review,,
y,exam  ,14,22-Oct,Mon,Exam 1,,
y,,15,24-Oct,Wed,"Performance / Indexing and Query Optimization 

* Indexes
  * Different Types of Indexes
* Optimizing Queries
* Query Planning

Additional Administration

* Backups / Replication
* Vacuum",,HW07
y,,16,29-Oct,Mon,"Geo-spacial Data

* PostGIS
",,
y,,17,31-Oct,Wed,"Postgres and Python

* pyscopg
* SQLAlchemy?
* Postgres, SQLAlchemy and pandas
",,HW08
y,,18,05-Nov,Mon,"Creating APIs for Consumption
",,
y,,19,07-Nov,Wed,"Visualization Revisited (web-based)

* svg
* d3
* bokeh again (or for first time?)
* plotly again (or for first time?)",,
y,,20,12-Nov,Mon,"Data Pipeline (everything together)

* ETL
* Python, Pandas, Postgres",,HW09
y,,21,14-Nov,Wed,"NoSQL (mongodb)
                                                                                                                                  
* JSON format in depth                                                                                                                 
  1. Nested objects                                                                                                                  
* compare/contrast MongoDB with SQL.                                                                                                   
* Accessing MongoDB                                                                                                                    
  1. from command line (e.g. mongo shell)                                                                                            
  2. from Python libraries (e.g. pymongo module)                                                                                     
* Basic CRUD                                                                                                                           
* Geo-spatial data queries ",,
y,,22,19-Nov,Mon,"NoSQL (continued)

Python and NoSQL",,HW10
y,holiday,,21-Nov,Wed,Thanksgiving,,
y,,23,26-Nov,Mon,"Cloud Data Storage (Firebase, S3, RDS)

* S3
* RDS
* Firebase ",,
y,,24,28-Nov,Wed,"Serverless  (Firebase Again, Lambda, Chalice or Zappa)

* Microservices
* AWS lambda
* Firebase
* zappa or chalice",,HW11
y,,25,03-Dec,Mon,"Processing Large Data Sets (Spark or Hadoop)

* Hadoop, Parque",,
y,,26,05-Dec,Wed,Optional Topic TBD,,
y,,27,10-Dec,Mon,Review,,
y,exam  ,28,12-Dec,Wed,Exam 2,,
